Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
1A,2155.8925068346093,93894.75019129738,1.8304078710173504,2.598610365112444,3.2391668720522344,33325.341709377426,1.0474775492635544
1B,5751.706464538602,104644.36067699365,1.6525416581030934,3.842247416284072,2.5127369964352124,60825.928724453726,1.2078895349453376
2A,3595.5552153518734,77388.50295002884,2.597652526618741,3.675934803680066,4.01098147033024,27378.09315176173,0.8851748817470737
2B,2202.7499587069665,56803.705733496034,2.6260690156252493,3.183415884852808,4.2759125237389695,17214.876882002034,0.643776731498655
3A,3554.3200962852616,74821.94934096366,2.3461952599083307,3.3203277770116717,3.7594263729040063,26471.94385013254,0.8563071569813119
3B,3560.925499996564,73103.49305670524,2.222774453319029,3.39845402611742,3.530883632514517,27942.427979010627,0.8379854012391926
4A,5048.098320225722,113431.62159211868,1.8651252042994808,3.380104835666237,2.968715356071714,51392.095792972206,1.2956790786080807
4B,2793.1640861122683,95742.10435709008,1.8712823393553464,2.9707440739655016,3.1310895073672738,37998.71392547262,1.0765237628554878
5A,2314.744085929006,13099.86693067951,3.314193475474028,5.059062047843039,4.624394237643788,4999.1830675573165,0.1686346899995311
5B,2523.147937435774,22190.839403619608,2.820108926401071,4.539507897167321,4.062582335539024,8930.106367031207,0.2703572366049487
6A,1866.257276263554,24241.0043236082,2.501162059771682,2.811868867539318,4.2801654042345145,6813.0856524409,0.2842848881991797
6B,1324.3963240254352,21368.320862191507,3.08828263503278,2.088878476640082,6.045163726555364,3613.320962323232,0.2411111441645464
7A,1774.1077872706558,8156.22043820629,2.1078024318245654,4.159680425440936,3.121246839204074,4024.009792158239,0.1086492775019283
7B,1586.3906036342128,8522.0019021967,2.181676169995203,3.179862498098736,3.5538588799706465,3105.272293639821,0.1104546045281976
8A,1325.079774248442,4928.462658339894,2.095059124984291,4.475856076683567,3.0312193093558344,2632.275298937454,0.0684270879097029
8B,1258.5458258455203,4479.247594327397,1.9754413376097608,4.064521563140798,2.9474826009771853,2304.04189777398,0.0627793513094405
9A,4427.227186618733,99406.25569230794,2.929287216872273,3.2480214156327416,4.733023610218451,27555.64950039505,1.1319649697485994
9B,3189.8440129985,82930.90961502536,2.8785345034143828,3.1154582697545905,4.726438891259789,22439.177632918545,0.9381787914568466
10A,1510.7946232133252,57579.80861873443,3.12938632366342,2.129196999910421,6.068885415382109,9794.153157072114,0.6278962021426205
10B,1427.137171078071,59943.27696240824,2.9962523155926424,2.142683140239482,5.792981574644692,10716.67498174743,0.6541417322282671
11A,2436.4461718496227,13821.611912288685,1.877803556909322,4.372544777553942,2.736710052984036,8046.051564084563,0.1779005005374694
11B,2197.223737632264,10414.194739247554,1.740275052448592,4.492184055331293,2.5150763655796715,6720.5582661975295,0.1380024552377707
12A,4178.4796342923855,100496.31450637002,2.812175874843464,3.103487869739849,4.624443873222459,27726.67028172989,1.1405760812863706
12B,3427.4070325108573,107352.43859105806,2.229056432883436,3.218950604649178,3.6140148908752896,38756.55546618912,1.2102458778504432
13A,1468.138634391193,19529.192394989936,2.617128656568933,3.110117966760096,4.3001057555342665,5801.978056325355,0.229023804387468
13B,1260.039140605812,31662.903386787715,2.2282938852260146,3.0284896267550754,3.699848461830959,10758.317730844174,0.3594090907125419
14A,1968.523063185748,23808.395303194666,1.287790943911387,4.525684044408376,1.856894280014796,20917.462429765623,0.2820758866105581
14B,1495.6781194941354,23696.998709971533,1.2764570968012443,3.865587107478421,1.9368779132571932,17940.832662678615,0.2756708605791864
15A,1577.8655677624918,52535.89267719542,1.502042323148434,2.457464788134103,2.724474750584272,21488.26041345868,0.5904805093598384
15B,1148.441296716294,47156.45720796197,1.2333737437871526,2.4561994396751845,2.23766820283178,23477.40584610082,0.5276651515580864
