Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
1,0.5,6,1,5,0.1,2,2,20,8,2,3,1,1.75,0.1,0.2,2,0.05,0.2,0.05,0.1,6.7,0.1,1.279623517
2,1,6,1,2.5,0.4,2,4,5,8,2,3,1,1.75,0.2,0.4,1,0.1,0.1,0.05,0.05,13.32,0.1,0.863085841
3,0.5,6,2,5,0.4,2,4,10,8,2,6,1,1.75,0.4,0.4,1,0.05,0.1,0.05,0.2,3.33,0.1,0.850945643
4,0.5,6,1,5,0.2,2,4,10,8,4,3,1,1.75,0.4,0.2,1,0.2,0.05,0.05,0.2,3.33,0.1,0.529730766
5,0.5,6,2,5,0.1,2,2,5,8,2,3,1,7,0.4,0.4,1,0.1,0.1,0.05,0.05,6.7,0.1,0.375173968
6,0.5,12,1,2.5,0.2,2,4,20,8,1,3,1,1.75,0.1,0.2,1,0.1,0.05,0.05,0.2,3.33,0.1,0.170410726
7,0.5,12,1,1.25,0.2,2,4,10,8,2,3,1,3.5,0.1,0.2,1,0.1,0.1,0.05,0.1,13.32,0.1,0.124916902
8,0.5,12,2,2.5,0.1,2,4,5,8,2,3,1,1.75,0.1,0.2,2,0.05,0.1,0.05,0.1,13.32,0.1,0.084561422
9,1,6,2,5,0.2,2,4,10,8,1,3,2,3.5,0.2,0.1,1,0.05,0.1,0.05,0.1,6.7,0.1,1.158726006
10,1,6,2,2.5,0.4,2,6,10,8,2,6,1,7,0.1,0.2,1,0.05,0.1,0.05,0.2,3.33,0.1,0.695600385
11,0.5,6,1,2.5,0.4,2,2,5,8,2,3,4,7,0.2,0.1,1,0.1,0.05,0.05,0.2,13.32,0.1,0.212492859
12,0.5,6,2,5,0.1,2,2,5,8,1,6,1,1.75,0.2,0.4,1,0.1,0.1,0.05,0.2,6.7,0.1,1.707797972
13,1,6,2,5,0.1,2,2,5,8,1,3,1,1.75,0.1,0.4,1,0.2,0.2,0.05,0.2,6.7,0.1,0.526797435
14,0.5,6,1,2.5,0.1,2,2,5,8,1,3,1,1.75,0.4,0.1,2,0.1,0.2,0.05,0.05,13.32,0.1,0.383177983
15,1,6,1,5,0.1,2,2,10,8,1,3,4,3.5,0.4,0.2,1,0.05,0.2,0.05,0.1,3.33,0.1,0.302802682
16,1,6,2,2.5,0.1,2,6,5,8,2,3,1,3.5,0.2,0.1,2,0.2,0.2,0.05,0.2,3.33,0.1,0.551398275
17,1,6,1,2.5,0.4,2,2,5,8,2,3,4,1.75,0.1,0.4,1,0.2,0.05,0.05,0.2,3.33,0.1,0.930845148
18,0.5,6,1,1.25,0.2,2,4,5,8,4,6,1,7,0.4,0.1,1,0.1,0.05,0.05,0.1,3.33,0.1,0.327136227
19,1,12,1,5,0.1,2,4,5,8,1,3,1,7,0.4,0.4,2,0.1,0.05,0.05,0.1,3.33,0.1,0.561543583
20,2,6,1,5,0.2,2,2,10,8,2,3,2,7,0.2,0.4,2,0.1,0.05,0.05,0.1,3.33,0.1,1.51269807
21,2,6,2,2.5,0.1,2,4,5,8,1,3,2,3.5,0.4,0.4,1,0.1,0.2,0.05,0.1,3.33,0.1,0.815273088
22,2,6,1,2.5,0.1,2,4,10,8,1,3,2,3.5,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,1.878375648
23,0.5,12,1,5,0.4,2,4,5,8,1,6,1,3.5,0.1,0.1,2,0.05,0.1,0.05,0.1,6.7,0.1,0.118284812
24,1,6,2,2.5,0.1,2,6,20,4,1,3,1,1.75,0.4,0.1,1,0.1,0.05,0.05,0.1,3.33,0.1,0.520451074
25,0.5,6,1,2.5,0.4,2,4,20,8,1,6,1,3.5,0.1,0.1,2,0.1,0.1,0.05,0.05,3.33,0.1,0.340562111
26,1,6,2,5,0.1,2,2,5,8,2,3,1,1.75,0.2,0.4,2,0.2,0.2,0.05,0.2,6.7,0.1,0.646074309
27,0.5,6,1,5,0.2,2,2,5,8,4,6,1,1.75,0.1,0.4,1,0.1,0.1,0.05,0.05,13.32,0.1,1.626161437
28,1,6,2,2.5,0.2,2,4,20,4,2,3,1,7,0.1,0.1,1,0.2,0.05,0.05,0.2,3.33,0.1,0.987511182
30,1,6,2,2.5,0.1,2,2,5,4,4,3,1,3.5,0.4,0.2,1,0.1,0.2,0.05,0.1,6.7,0.1,0.366579036
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.66,0.1,1
TOP5,2,3,1,5,0.1,2,2,10,4,1,3,2,1.75,0.1,0.2,4,0.1,0.2,0.05,0.1,3.33,0.1,0.876214988
TOP8,2,6,2,5,0.1,1,4,20,8,1,3,1,1.75,0.1,0.4,1,0.1,0.1,0.05,0.1,6.7,0.1,1.580038917
