Destination Plate Type;Destination Plate Name;Sample name;Destination Well;Transfer Volume;Source Well;Source Plate Name;Source Plate Type
Greiner384_black_PS_Fbottom_781906;destination1;water well;A1;500;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B1;800;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C1;0;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D1;375;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E1;1100;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F1;300;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G1;225;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H1;800;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I1;1150;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J1;100;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K1;375;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L1;1400;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M1;1050;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N1;1675;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O1;1025;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P1;850;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A2;1225;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B2;1375;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C2;375;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D2;425;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E2;925;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F2;100;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G2;700;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H2;1075;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I2;600;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J2;500;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K2;675;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L2;250;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M2;2550;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N2;1475;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O2;1050;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P2;1900;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A3;75;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B3;350;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C3;25;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D3;550;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E3;275;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F3;225;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G3;450;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H3;250;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I3;225;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J3;750;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K3;450;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L3;250;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M3;50;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N3;225;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O3;950;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P3;425;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A4;325;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B4;0;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C4;525;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D4;1275;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E4;175;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F4;475;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G4;300;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H4;525;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I4;450;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J4;100;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K4;1000;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L4;575;M20;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M4;450;M20;source1;384PP_Plus_AQ_GP
