Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
33,0.5,3,1,2.5,0.2,1,4,5,8,1,1.5,2,7,0.2,0.8,2,0.1,0.1,0.05,0.1,20.1,0.1,1.647565066
34,0.5,3,1,2.5,0.05,2,4,5,8,2,1.5,1,7,0.2,0.4,4,0.1,0.05,0.2,0.1,13.32,0.1,2.023616083
36,0.5,1.5,1,2.5,0.2,2,4,5,2,1,6,1,7,0.2,0.8,4,0.1,0.05,0.1,0.05,13.32,0.1,1.859021044
37,0.5,1.5,1,2.5,0.1,2,4,5,4,1,3,2,7,0.2,0.4,2,0.2,0.2,0.05,0.2,13.32,0.1,1.791288954
38,0.5,1.5,1,2.5,0.05,1,4,5,8,2,1.5,2,7,0.2,0.4,4,0.05,0.05,0.05,0.1,13.32,0.1,1.922936636
39,0.5,3,1,2.5,0.2,2,4,5,4,1,3,1,7,0.4,0.4,2,0.2,0.2,0.1,0.1,13.32,0.1,1.789462827
40,0.5,3,1,2.5,0.1,2,4,10,2,1,3,2,7,0.1,0.8,2,0.2,0.05,0.05,0.1,13.32,0.1,2.406640229
41,0.5,6,1,2.5,0.1,2,4,10,2,1,3,1,7,0.2,0.4,2,0.2,0.1,0.2,0.1,13.32,0.1,2.260223194
42,0.5,1.5,0.5,2.5,0.1,1,4,5,8,1,1.5,1,7,0.2,0.4,2,0.2,0.2,0.05,0.1,13.32,0.1,1.58267592
43,0.5,3,1,2.5,0.1,0.5,4,5,2,1,6,1,7,0.4,0.4,4,0.2,0.1,0.1,0.1,13.32,0.1,1.678118718
44,0.5,1.5,1,2.5,0.05,1,4,5,4,1,3,1,7,0.4,0.4,4,0.1,0.2,0.05,0.1,13.32,0.1,1.926156417
45,0.5,1.5,1,2.5,0.1,2,4,5,8,1,1.5,1,7,0.4,0.4,2,0.2,0.1,0.05,0.1,20.1,0.1,1.594879956
46,0.5,3,0.5,2.5,0.1,2,4,5,8,1,3,2,7,0.2,0.4,2,0.05,0.1,0.05,0.1,20.1,0.1,2.194917062
47,0.5,1.5,1,2.5,0.05,1,4,10,2,2,6,1,14,0.2,0.4,4,0.05,0.1,0.1,0.1,13.32,0.1,1.470810885
48,0.5,1.5,0.5,2.5,0.1,2,4,5,8,2,3,1,7,0.2,0.4,1,0.1,0.1,0.05,0.1,13.32,0.1,1.63854741
49,0.5,6,1,2.5,0.1,2,4,5,4,1,3,1,7,0.2,0.4,2,0.05,0.05,0.1,0.1,20.1,0.1,1.246070663
50,0.5,1.5,1,2.5,0.2,1,4,10,4,2,1.5,2,7,0.2,0.4,1,0.05,0.05,0.2,0.2,13.32,0.1,2.228226804
52,0.5,3,1,2.5,0.1,1,4,10,4,2,3,1,7,0.1,0.4,4,0.05,0.05,0.1,0.1,13.32,0.1,2.001099179
53,0.5,3,0.5,2.5,0.2,1,4,10,4,1,3,2,7,0.2,0.4,1,0.2,0.2,0.1,0.1,13.32,0.1,1.950582996
54,0.5,3,1,2.5,0.05,2,4,5,2,2,1.5,1,14,0.2,0.8,2,0.05,0.1,0.1,0.1,20.1,0.1,1.445558859
55,0.5,1.5,0.5,2.5,0.05,1,4,10,8,2,1.5,1,7,0.2,0.4,2,0.05,0.05,0.05,0.1,20.1,0.1,1.90356621
56,0.5,3,0.5,2.5,0.05,2,4,5,2,1,1.5,1,7,0.2,0.8,4,0.05,0.2,0.05,0.2,13.32,0.1,1.840317149
57,0.5,3,0.5,2.5,0.05,1,4,5,4,2,6,2,7,0.2,0.8,4,0.05,0.1,0.05,0.1,13.32,0.1,0.41068099
58,0.5,1.5,1,2.5,0.1,2,4,5,2,2,1.5,4,7,0.2,0.4,4,0.05,0.2,0.05,0.1,20.1,0.1,1.826801888
59,0.5,6,1,2.5,0.2,1,4,5,2,2,1.5,1,7,0.2,0.4,2,0.1,0.2,0.05,0.1,20.1,0.1,1.09236653
60,0.5,3,1,2.5,0.1,0.5,4,5,8,1,6,1,7,0.2,0.4,1,0.05,0.1,0.1,0.1,20.1,0.1,2.099482208
61,0.5,3,1,2.5,0.05,2,4,10,4,4,3,2,7,0.2,0.4,1,0.05,0.05,0.05,0.1,13.32,0.1,2.003787264
62,0.5,1.5,0.5,2.5,0.1,1,4,10,2,4,1.5,1,7,0.4,0.4,4,0.2,0.1,0.1,0.1,13.32,0.1,1.919262483
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
TOP6,0.5,3,0.5,2.5,0.1,1,4,5,2,2,3,1,7,0.2,0.4,2,0.1,0.1,0.05,0.1,20.1,0.1,2.19145181
