hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,rate,Day
0.5,3.0,1.0,2.5,0.1,2.0,6.0,10.0,2.0,2.0,6.0,1.0,1.75,0.4,0.1,4.0,0.05,0.2,0.05,0.2,3.33,2.0,41,0.005261988,0.010490826,6.0
0.5,3.0,1.0,5.0,0.1,1.0,2.0,20.0,4.0,1.0,3.0,2.0,1.75,0.1,0.2,1.5,0.05,0.1,0.05,0.05,3.33,2.0,41,1.8039771615,1.2554790415000001,8.1
0.5,3.0,1.0,5.0,0.1,1.0,2.0,20.0,4.0,1.0,6.0,1.0,1.75,0.1,0.4,1.5,0.1,0.05,0.05,0.1,3.33,2.0,25,0.180915018,0.149748653,8.2
0.5,3.0,1.0,5.0,0.2,0.5,2.0,20.0,4.0,2.0,3.0,4.0,1.75,0.4,0.4,1.5,0.05,0.2,0.05,0.1,3.33,2.0,47,1.234575344,0.885338334,6.0
0.5,3.0,1.0,5.0,0.2,1.0,2.0,20.0,8.0,1.0,6.0,1.0,1.75,0.4,0.1,2.0,0.1,0.2,0.2,0.05,3.33,2.0,6,0.347804954,0.381673739,6.0
0.5,3.0,1.0,5.0,0.2,2.0,2.0,20.0,2.0,4.0,3.0,2.0,1.75,0.1,0.4,4.0,0.2,0.1,0.05,0.1,3.33,2.0,46,2.955181799,3.5651507746666664,6.0
0.5,3.0,1.0,5.0,0.4,1.0,2.0,5.0,4.0,1.0,6.0,4.0,1.75,0.1,0.2,4.0,0.2,0.2,0.05,0.2,3.33,2.0,33,1.1047419445000002,0.6251104160000001,8.1
0.5,3.0,2.0,1.25,0.2,2.0,2.0,20.0,4.0,1.0,6.0,1.0,1.75,0.1,0.1,1.5,0.05,0.05,0.05,0.05,13.32,2.0,45,0.505,0.935618179,7.0
0.5,3.0,2.0,2.5,0.2,0.5,2.0,5.0,8.0,2.0,6.0,2.0,1.75,0.1,0.2,2.0,0.05,0.05,0.05,0.1,13.32,2.0,39,0.6932,1.233109602,7.0
0.5,3.0,2.0,2.5,0.2,0.5,2.0,20.0,2.0,1.0,6.0,2.0,1.75,0.1,0.4,4.0,0.2,0.1,0.05,0.1,6.7,2.0,10,2.9139080135,3.6819271235,8.1
0.5,3.0,2.0,2.5,0.2,1.0,2.0,10.0,2.0,1.0,3.0,4.0,1.75,0.1,0.1,2.0,0.2,0.1,0.05,0.1,3.33,2.0,22,2.0796,1.365449575,7.0
0.5,3.0,2.0,5.0,0.1,0.5,2.0,5.0,8.0,1.0,3.0,4.0,1.75,0.1,0.4,1.5,0.1,0.2,0.05,0.1,13.32,2.0,26,1.5555,2.565740409,7.0
0.5,3.0,2.0,5.0,0.2,0.5,2.0,20.0,4.0,1.0,6.0,2.0,1.75,0.1,0.2,4.0,0.1,0.05,0.05,0.1,13.32,2.0,33,1.0181,1.747592939,7.0
0.5,3.0,2.0,5.0,0.2,1.0,2.0,20.0,2.0,4.0,3.0,2.0,1.75,0.1,0.4,1.5,0.2,0.2,0.05,0.2,3.33,2.0,45,2.02212128,1.107738892,6.0
0.5,3.0,2.0,5.0,0.2,2.0,2.0,5.0,8.0,1.0,3.0,2.0,1.75,0.1,0.4,1.5,0.1,0.05,0.05,0.2,6.7,2.0,2,1.7792,2.269863927,7.0
0.5,3.0,2.0,5.0,0.4,2.0,2.0,20.0,4.0,4.0,6.0,2.0,1.75,0.2,0.4,2.0,0.05,0.05,0.05,0.1,3.33,2.0,29,2.2244884375,1.8236095345,8.1
0.5,3.0,4.0,5.0,0.2,2.0,2.0,20.0,2.0,2.0,6.0,1.0,1.75,0.1,0.1,1.5,0.05,0.05,0.05,0.05,13.32,2.0,27,0.0068,0.010469125,7.0
0.5,6.0,1.0,2.5,0.4,1.0,2.0,10.0,8.0,2.0,3.0,4.0,1.75,0.1,0.4,2.0,0.2,0.2,0.05,0.2,3.33,2.0,48,0.989479963,0.928708614,8.1
0.5,6.0,1.0,5.0,0.1,2.0,2.0,20.0,2.0,1.0,6.0,1.0,3.5,0.1,0.4,2.0,0.1,0.05,0.05,0.2,6.7,2.0,13,1.0228761485,0.7957595115,8.1
0.5,6.0,1.0,5.0,0.2,0.5,2.0,5.0,2.0,1.0,3.0,2.0,3.5,0.1,0.4,4.0,0.05,0.05,0.05,0.1,6.7,2.0,18,2.315825507,2.8784259115,8.1
0.5,6.0,1.0,5.0,0.2,0.5,2.0,10.0,2.0,2.0,6.0,4.0,1.75,0.4,0.4,2.0,0.1,0.2,0.05,0.05,3.33,2.0,22,0.5837414905,0.192116208,8.1
0.5,6.0,1.0,5.0,0.2,1.0,2.0,20.0,4.0,2.0,3.0,1.0,3.5,0.1,0.4,1.5,0.1,0.2,0.05,0.2,3.33,2.0,53,1.7599089245,1.9978371285,8.1
0.5,6.0,1.0,5.0,0.2,2.0,2.0,10.0,2.0,1.0,3.0,2.0,1.75,0.4,0.4,1.5,0.05,0.1,0.05,0.05,3.33,2.0,31,2.431093896,2.132625091,8.1
0.5,6.0,1.0,5.0,0.4,0.5,2.0,10.0,2.0,1.0,6.0,2.0,3.5,0.1,0.2,2.0,0.05,0.2,0.05,0.2,3.33,2.0,3,1.112560178,0.873214407,8.1
0.5,6.0,2.0,1.25,0.1,1.0,2.0,10.0,4.0,1.0,3.0,4.0,3.5,0.1,0.4,2.0,0.1,0.1,0.05,0.05,6.7,2.0,32,2.665233337,3.2380240154999997,8.1
0.5,6.0,2.0,1.25,0.2,0.5,2.0,10.0,2.0,4.0,6.0,1.0,1.75,0.1,0.4,2.0,0.05,0.05,0.05,0.2,6.7,2.0,39,2.330588636,2.720634453,8.1
