Destination Plate Type,Destination Plate Barcode,Sample name,Destination Well,Transfer Volume,Source Well,Source Plate Name,Source Plate Type
Greiner384_black_PS_Fbottom_781906,destination1,water well,A1,325.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B1,2125.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C1,700.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D1,1350.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E1,1725.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F1,2425.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G1,500.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H1,700.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I1,525.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J1,650.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K1,2875.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L1,1875.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M1,700.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N1,550.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,O1,1875.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,P1,1100.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,A2,650.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B2,350.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C2,600.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D2,450.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E2,1400.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F2,3200.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G2,150.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H2,450.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I2,625.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J2,1575.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K2,850.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L2,475.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M2,825.0,G4,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N2,425.0,G4,source1,384PP_Plus_AQ_BP
