Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
1A,5137.232892768601,186634.87132495723,3.816006639489523,4.4232542975050215,5.541436100618166,54083.59933847281,0.2925680169767224
1B,6160.32881679276,196860.11878533545,4.018810079845483,4.221625794222545,5.922725905518795,51698.74532549692,0.3094740456547392
2A,34831.717117299464,981139.7899430076,2.5343005276102155,4.087735331000569,3.774253862353092,395635.7721101101,1.5512608239865602
2B,42953.7779500604,1242494.1575619995,2.5997573365952835,3.7642961964436426,3.98102873550987,449764.6728001322,1.9619472936136364
3A,40481.76699089349,1466889.4911995947,2.4136540973601077,2.987656962925545,4.02940458499081,453934.41079835466,2.296237692680603
3B,37828.27194167457,1431207.4323269231,2.1552477348971366,3.134506509162013,3.530422888368632,520372.77895618585,2.24069664610953
4A,5472.296476030705,247442.5835236445,1.450083896830512,4.129016083463486,2.1524710358092287,176144.01644898456,0.3863000167214258
4B,5090.325002241793,205415.43105589465,1.3812348455017844,4.145233371574549,2.047655633761109,154118.4148775092,0.3215271159017449
5A,613.9900254611597,161784.2261767937,6.856451726398055,9.476139542578844,8.303549818525166,55899.536823721726,0.2480162711390192
5B,1725.0771225354106,111843.78431185197,6.793430164111919,10.326627287309384,8.109141475289094,42503.162875366834,0.1734592765020729
6A,39644.87016307206,2190697.967083338,2.7817850316773773,2.359980217660392,5.13924973486472,464630.0672331316,3.3626735606026448
6B,38544.9945861865,2228895.4687630143,2.656891802617349,2.3426689739882733,4.925152348275345,491322.62892586656,3.421807961970503
7A,49827.99099299364,1747452.152449306,2.2668717370172784,3.290973415429757,3.6445016664412178,634224.0812015492,2.7419424916548047
7B,44743.168738092514,1608924.1721522766,2.1747331649580324,3.3415313556884136,3.4763718051317376,618037.9571159487,2.52349562742594
8A,725.3608195346236,2668.0583147000957,2.946759800570142,3.6525091261801976,4.560313496821612,826.7646502556438,0.0051769587015496
8B,766.8671874053573,3785.538044214522,2.6478539445745204,4.250006590119773,3.893900927527504,1519.0189840367198,0.0069515751910548
9A,7186.187740797821,325603.9925097537,3.5246096847969905,2.911256899078745,5.945975992876733,67235.59162099124,0.5035433736751406
9B,12235.551580947727,488624.84864211606,3.522208723512086,2.991752324325797,5.87682123262467,103759.07856411392,0.7587379928563072
10A,-2061.2907992716364,138617.99507038452,3.911291001903181,1.740102306425731,8.406763466320742,15417.511303602663,0.1938099301597712
10B,-1005.056857877131,130660.94368975084,4.118449945369634,1.8510739889540369,8.56824500482784,14681.681059898036,0.1849927175614217
11A,920.1610534415954,6916.314999492467,4.336560478397633,5.878399034901119,5.811982766898529,2343.8425233903017,0.0119667068385802
11B,1050.6486380054396,9549.876217850964,3.9369827719160537,5.042368866253167,5.498543568574513,3057.798402177641,0.0161834152835829
12A,13503.73064214933,1525787.9988057837,2.536281753690131,1.9049378284518528,5.199131654415103,286495.3068496991,2.29275434024321
