Cond.;k_prime;Yield;K;n;Plateau_Time;Translation_Rate;Rel. Yield
TOP1A;79221.70595342973;1717178.5288896586;2.2708635835514386;3.653271626328425;3.514058076501682;690631.4895325013;2.320380857393276
TOP1B;24280.896880849486;1130446.0599154285;2.08440856637459;2.7985308067983974;3.5740534624114613;379434.7441202013;1.4878217381452363
TOP1C;18000.936222731743;449181.0174401874;1.616064399589761;3.180900121725719;2.632169487927464;221030.78834839075;0.6035172583688472
TOP2A;60643.65213118229;1747628.6892329238;2.8675283176105046;2.994170601438916;4.782935753801649;456202.8569514551;2.3244254814244063
TOP2B;29076.30541897217;1807206.695857044;3.277653753073228;2.471172405059928;5.93036527280529;340633.8537783371;2.328129020212358
TOP2C;5011.3008340828;1593725.7195518154;4.320622521059598;1.9930525172151667;8.656306085581697;183791.74769497785;1.9253536624587764
BAD2A;-9354.798309524373;303774.3408801436;1.6800642120194031;2.0658809280922674;3.3065511882759235;93383.57617203383;0.3768881570617754
BAD2B;16377.34801315268;519057.2573981736;2.044091854043902;3.640009248276633;3.1672163928135117;231077.3380335918;0.6917656233844933
BAD2C;25659.441412825803;647811.9971917672;2.241320215839873;3.6778091527199495;3.4601546483890937;265750.61382080155;0.8699691441899706
REFA;23379.55689902138;461159.0654393433;2.262579721933059;3.525988497340788;3.5459530078297314;179666.76979610758;0.6257462929138906
REFB;12877.752708624294;451613.0083994345;2.582599166892907;2.863026219091966;4.386703613908416;125162.65595002777;0.5972953430564464
REFC;43231.96726480052;1267695.6112407497;2.3904653627095644;2.8298895603394087;4.079906107119999;375182.0285603263;1.6870728696679371
