Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
2A,16838.157356747877,334567.4682157166,3.8505492636352057,3.676670200201304,5.945134338698169,79864.85538326949,8.082033736496385
2B,13128.64274634338,273475.63632472407,3.4563253321263754,3.9083512254121873,5.225012501106108,77310.34665742458,6.604980417120179
2C,16942.45542280728,397124.1728163092,3.604681234298065,3.826544169563969,5.488721284309465,105391.648339404,9.536648402337953
3A,3970.0456093539183,190477.29189847008,3.651344275719255,2.344926337255273,6.76559500309446,30581.560152513917,4.377791588294076
3B,5640.97494823049,255229.77617604172,3.395497082689899,2.5615204016802267,6.046654637759636,48135.535303809615,5.933236428444428
3C,5876.344200957376,348199.51710060774,3.378029700255544,2.5063031529081385,6.073657079837232,64585.9883561952,8.042876498185626
4A,5957.046104528142,275625.1986495569,2.261317632408726,3.2238585940826394,3.6641816640752216,98236.6046986518,6.491657715998384
4B,6546.921975201992,364434.24228402536,2.194450131010991,3.424101044703848,3.476217288207014,142160.859809069,8.557366627185814
4C,7011.359550666539,381952.64049939305,2.124491402645183,3.450114203999524,3.356039854103618,155070.0827267793,8.97331285066993
5A,1322.005205833145,52222.04225555896,4.351230956420148,2.4247454668212134,7.940251755477059,7275.249319992986,1.1952817972947605
5B,1092.7127369325908,63540.33034217782,4.3735879757074745,2.3735650336247995,8.058836042433779,8620.902744088844,1.4382959600963243
5C,1497.982490346689,75197.67668543576,4.139853270151381,2.560410864159337,7.373594641976581,11627.039400957476,1.7272838818259435
6A,591.6446690389016,1243.4133366690887,2.372921478229133,4.853639543259517,3.3507120442898226,635.8280493943287,0.0423623260924906
6B,516.3868299585108,191.4656039418153,2.719089391358116,2.6503048603037027,4.770996273532063,46.65552945047923,0.0163090904610161
6C,498.7409738905168,122.77655816114157,2.788360482937291,3.518604136217649,4.373284717088088,38.73262693434848,0.0143437895917669
7A,916.6814054900389,8809.606788937617,6.20398551249825,7.230659435964083,7.92000756206144,2566.868762315755,0.2244198917223575
7B,725.0174727330968,12142.70556220694,6.873168638938167,10.521343168730374,8.179687878680362,4646.967757092874,0.2970476328860497
7C,600.873697663196,3769.320062866535,6.624616225205643,9.973263727240775,7.953091317488884,1418.6641830025703,0.1008843636324679
8A,4227.729210790484,131608.21217333584,2.980617386284499,2.9450998775441817,5.004737117510684,32509.98696939962,3.118970602766861
8B,4443.566044421393,161987.1831108152,3.041430614023991,2.879673638189375,5.153774578068695,38342.99381826126,3.8174532723161954
8C,5016.641754038204,183227.62273434637,2.772652547681202,2.883743871412252,4.695605952224272,47642.24195486543,4.324471271161784
9A,280.12874203306285,28263.35054801076,2.1485951313529865,1.64639947572087,4.758648357241232,5414.324556234338,0.6386242558346644
9B,421.9689716430885,79755.08512728372,2.4100359237943363,1.8617939013845275,4.998975464311799,15403.041260543056,1.80535187581395
9C,1493.6036415254205,84174.57598949445,2.492688107929228,1.858744668010753,5.174808090117989,15691.799126898724,1.9262596762477655
10A,6328.278789997511,155250.07711615996,3.586576214902958,3.642054072405116,5.556111067269649,39412.87886568844,3.7186723490765896
10B,5390.266588247448,116725.73119634044,3.170881386862912,4.267141449230171,4.657066658473707,39270.248947437016,2.817252128918343
10C,6115.164804017149,153697.37080751953,3.259888208354063,4.421184438040839,4.734555575906192,52112.55574965665,3.687235052779765
11A,1393.9843409134185,96751.78723331576,2.9676672025615707,2.4598692502092168,5.380533010213067,20049.143828575936,2.237066284376052
11B,2012.4204615675185,169041.9361254766,3.1107574276265737,2.5568154689918687,5.544063597236944,34735.032162546195,3.90121817257182
11C,1407.5202356660047,207147.8543665727,3.008964389120128,2.448197995915726,5.467069815347839,42135.67330276563,4.749810524401661
12A,7386.791936672134,365388.9401491005,4.204924307063118,2.6756149045948976,7.348070430103396,58124.71419490829,8.419295638799134
12B,9051.235112034712,416982.8682505412,3.9989340092438375,2.9079145395111574,6.749313330856287,75804.6108356572,9.70186708070951
12C,11528.427668092423,444254.597510036,3.7358370706870674,3.08517954793783,6.157632634050078,91720.0865817767,10.43279629178687
13A,-898.965856596757,148165.7596217743,2.22968098455413,1.7884766040093476,4.723066673308129,29711.761058477903,3.3146017547315663
13B,-739.5265064179702,153489.61424635665,2.092589228254924,1.801141630245506,4.416214636846132,33028.04610391483,3.449427631774308
13C,-1268.9497614959366,213247.30049397267,2.4937592373337187,1.6347704868562902,5.544657522302501,34948.28089559772,4.69512988605344
14A,631.463559650628,208.26097535078597,3.732781848379773,4.90580217955218,5.254564305869943,68.4266579384364,0.0193833145400898
14B,3430.804509680669,166.7744020352984,8.932024862663308,2.976320134869466,14.93408408876537,13.893098664373497,0.0825835255577552
14C,621.0451728061939,116.46504521326632,4.619274359251964,2.7138714687467864,8.023469740240332,17.106104700055738,0.0169538142405045
15A,770.8201893356913,1898.8947169658404,0.3646879849540932,1.8639951780390775,0.7559851183916861,2426.4102068469297,0.0616002780758809
15B,1138.0160165111113,7735.097790826769,0.8694723094454936,1.8799218913201077,1.7944812829140009,4181.0933800039065,0.2042032308625244
15C,1182.1372383177325,14197.4792742383,1.0344378241620296,1.966552278204498,2.0864696827877176,6747.647021253255,0.3537756055584911
16A,1422.492365001381,78993.79604196343,1.7738225760279618,2.4155243548966547,3.2425078926815813,26892.68938221217,1.849109088678116
16B,1224.3674428215832,154859.138600147,2.190797658053422,2.292293679654122,4.102243540837503,40508.37640629138,3.5723942949383467
16C,3933.879884499448,200223.34551277448,2.5508508358838893,2.161759003805074,4.910827902147007,42420.612550658414,4.64085423825276
17A,2997.4644356135527,81279.07052406388,2.0888356981346394,2.807645294854028,3.5767983706012414,27312.200778977614,1.9406838868221727
17B,2732.107140097302,106264.85986360144,2.148581007112229,2.499728942141941,3.867632197735462,30907.997517245447,2.503087807466758
17C,2954.8661072105697,90289.14782723816,2.0145237285203934,2.3815451781363075,3.706302450179473,26684.680056353394,2.1403108628509298
18A,570.5878438440327,441.4141796609289,4.036354283050618,3.6994783022715807,6.2184750867175485,101.14338741447249,0.0233167989220287
18B,592.584244461243,509.3069393683727,3.368703336446301,3.944426567360691,5.076786009005918,149.08732099165903,0.0254198992365385
18C,580.4462482197094,523.5014807506708,3.722232582572494,3.388966430349788,5.918909745992084,119.1575825224428,0.0254202299947829
19A,570.6365850012985,839.6246155101977,3.064945864388225,3.916369238489821,4.630143463361343,268.2168104720616,0.0325353935449498
19B,571.175716302294,311.35440489929243,4.452961475625968,2.106018221502015,8.681758197479695,36.81359324867332,0.0199853641613312
19C,517.9048872740881,427.3315848894495,3.724220742977077,2.5441664738753804,6.651875659602237,72.98189114823238,0.021628213662091
20A,2091.077816751537,85894.93987473479,3.7342781841252943,2.665451096056559,6.536264076607079,15327.511124378936,1.9986249877852484
20B,3141.0017006935304,200050.41408179025,3.6595626883395616,2.6914924424010684,6.378918411348675,36782.68576433679,4.621642521623297
20C,3034.6317712385057,180969.0187710149,3.65209576440861,2.725929666770568,6.3316188709128784,33768.88565202723,4.188821480562464
21A,1527.1976210436396,33141.41424732257,3.3630685035856085,3.000000673319441,5.605113669438481,7390.889075759451,0.7948062714256161
21B,2095.209591793578,50607.86879161348,2.765569412372059,3.2763551520660794,4.453768208908559,14988.717233847196,1.213849838212336
21C,1968.7690515601755,46057.46387169924,2.761814614019628,3.3474735752309988,4.411903585269562,13956.054695890416,1.1064641476540378
22A,815.9092693061701,9935.897772938555,2.4911308927465585,3.2465567077744044,4.025760419950654,3237.230092607605,0.2477945586586671
22B,963.8876827673656,20124.939533211123,2.334722793696086,3.3097961478887967,3.745518316668293,7132.479230871357,0.4862468617318857
22C,808.9862848490773,13006.6990888474,2.274673708185486,3.4004193045162747,3.612552072282745,4860.942309065497,0.3186480769810079
23A,-352.30220412512864,153828.54098348963,3.9780007525968246,1.8312326214247976,8.322616183815743,17703.3552703112,3.3184394526533723
23B,-679.8272522153421,240901.96709342487,3.6056985915958975,1.937051380812551,7.328572055162349,32354.305008079005,5.292102710807372
23C,-692.5471396992707,263206.00801241025,3.644891653115367,1.9289560365847327,7.424025634384055,34823.58780040522,5.774220587141598
24A,1248.666688191116,27830.90091925341,2.236540444367999,3.6982266386103855,3.4460609323867555,11504.931580299875,0.6710005980873165
24B,1533.984655668185,41472.37576688688,2.211864651542211,3.717016325237408,3.4019937540292378,17423.477705158864,0.9923903720190392
24C,1171.156435152983,30030.531807366264,2.1112975073880174,3.821997178221202,3.216111252107022,13590.766747296464,0.7201003576898211
25A,763.4782409333241,12314.864289378766,2.408274046154252,3.628652946908957,3.735639369534501,4638.8375801538605,0.3017061589774462
25B,1193.383490601698,3281.50474931002,1.8058846533585509,2.4543271804854228,3.2774770862805367,1114.950266084979,0.1030139425473458
25C,666.3641215197545,10008.799536294098,2.088716499774298,3.9419636448745634,3.1484505247139234,4722.316779846867,0.2463918187592633
26A,891.0615335349112,6831.292774047567,1.616227758249287,2.760287099179445,2.787285478100056,2916.71907295829,0.1780527056280606
26B,1111.832151496876,17034.400046868937,1.6950453626539257,2.6945759044079014,2.9531619812142704,6769.801700243535,0.4181768307434245
26C,998.1161803791894,19114.2032474141,1.7403947847996784,2.561984774934845,3.099024860846044,7034.36630191374,0.4630931849178697
27A,1090.6439344577484,116734.51527395558,2.854745146547067,2.383746324755568,5.249920435880588,24368.678942583367,2.683990607773917
27B,293.4489077203232,163873.38666136714,2.5661164181941056,2.2305958271206765,4.866951367308603,35611.72145886338,3.737291197650263
27C,87.92897570517677,182850.44751079075,2.6483503454199075,2.236344029920075,5.01681450834618,38601.0585198968,4.160998895075038
28A,771.0318604613357,100769.62523025242,3.428501301224386,2.2796638152959576,6.436402096262693,16750.82259968103,2.2876862080283566
28B,-356.7044737143433,158496.77198298674,3.107492151287272,2.0725337502040317,6.106229470745982,26427.25172266779,3.5498128472138086
28C,-517.235952661635,167121.0457075299,3.256684217678852,2.0816137984995806,6.385683669955983,26705.189351488625,3.730879942738648
29A,6345.636657296532,388269.5657723664,2.840155698310834,2.4025295093175583,5.204460225931461,82110.73515202172,8.995297383822843
29B,7000.0684212301785,575635.0716118958,2.642428179486572,2.4415314963811148,4.806994299893562,132967.77266006148,13.317367633013651
29C,7583.118430160152,556230.8255318776,2.69391576869191,2.510295248174601,4.840209732042104,129579.3668132127,12.897273309210544
30A,6529.45935830009,255331.0558006046,4.375202049451205,2.5352385948626788,7.826713128776808,36988.3001868408,5.870748593179679
30B,10908.376026519656,442705.3940342313,4.105653375328904,2.6666301739715834,7.184935546065082,71884.5122804046,10.257039567233674
30C,10788.11885038268,369386.6833616741,4.335655373780157,2.8719658703624,7.354949870642031,61171.025838254434,8.620122787899495
REFA,1212.0150433116316,29591.45909816517,3.501954252854925,2.7606557141817,6.038999517039893,5831.874487204213,0.702959392349231
