Destination Plate Type,Destination Plate Barcode,Sample name,Destination Well,Transfer Volume,Source Well,Source Plate Name,Source Plate Type
Greiner384_black_PS_Fbottom_781906,destination1,water well,A1,125,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B1,125,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C1,1050,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D1,100,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E1,125,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F1,525,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G1,1075,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H1,150,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I1,1825,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J1,750,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K1,175,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L1,1150,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M1,425,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,N1,1200,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,O1,950,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,P1,1400,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,A2,600,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,B2,475,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,C2,1175,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,D2,1900,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,E2,350,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,F2,750,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,G2,700,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,H2,250,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,I2,675,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,J2,625,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,K2,1450,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,L2,800,C3,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,water well,M2,525,C3,source1,384PP_Plus_AQ_BP
