Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
1A,1219.4938813767055,15106.731024273971,1.8737653998597492,2.978771004786274,3.1318449211448653,6003.885592558806,0.1530452756353944
1B,1213.7026029047588,13702.072335424702,2.0378036532202515,3.1331335980829134,3.338612309746825,5266.751672767943,0.1398388602176933
2A,1076.4755166797474,13290.133770786006,3.002887694162226,3.057628190675876,4.967081838708263,3383.100852756489,0.1341724738803477
2B,998.0579726765822,6025.869769990632,3.388325904438928,3.223655965466676,5.490489373950734,1433.2543252190676,0.0655865802458611
3A,2320.340085799651,81897.18957132145,5.684204137181558,6.647719501727575,7.394325671552669,23944.844832750077,0.789935478458865
3B,506.90902792445024,107638.27358474818,6.34710964514309,6.7110657867246974,8.23864516181123,28452.61763161298,1.0134757015294924
4A,2380.9754486050792,64821.61781837708,3.0496102763720097,3.118538785561365,5.005404631402327,16571.685476966275,0.6276595243955108
4B,1704.5005581271305,51736.4699810442,3.018113184332477,3.1577088224373187,4.929697408240055,13532.354299118126,0.4993600339484286
5A,2466.0387235385065,219490.4360722638,3.921291261267054,2.3936922870009067,7.197644936768176,33496.145076384724,2.0180904705008724
5B,2863.911657050372,174067.92014296717,3.9390819938880575,2.684438979511071,6.8738344870183,29656.320345656182,1.625854792909589
6A,-637.3430664422045,95123.8569260069,3.4201780081441866,1.8492780288319812,7.119111272715981,12858.28239145305,0.8400534584902454
6B,-1892.5713008319535,181235.20301913685,4.093902878061821,1.709688876021742,8.88296471905348,18921.78562697459,1.5375733967195877
7A,4411.631641480071,124846.60345955806,2.126654158899516,3.4684903731303742,3.352924916560678,50904.99087561832,1.212470532921373
7B,4161.011314272702,122202.89238070992,2.189090335814251,3.65668277240032,3.3863997400299675,51032.2945557909,1.185556142312504
8A,802.7392090853477,2207.96974509037,6.657483476649543,11.336338903370182,7.832022017424879,939.9307338322188,0.028263510539149
8B,800.090740737395,465.5222616021471,6.803769021261554,9.110800580933269,8.29733019864046,155.8430510423101,0.0118799695595336
9A,6252.534320424985,218574.84984912752,4.264807744433222,3.280620819988945,6.864808158042493,42033.61828425751,2.085869417653484
9B,4636.73303913925,156544.62211057727,3.9061786029072967,3.819433398439637,5.951601677703207,38267.05194625741,1.506948586465549
10A,1055.956373463643,115753.9073112808,1.966065689674632,2.2927522943126792,3.681092380130103,33746.969640612195,1.088189657188095
10B,3160.4595597698494,222166.44165099625,2.439914630821021,2.2178559315457744,4.640160910226987,50486.7213571605,2.0850191022264264
11A,1351.433404688415,152056.2599798646,3.4240385779981426,2.3575532608496776,6.328777686003784,26173.82393495996,1.4051497564267634
11B,1354.531602668959,208201.6336706478,3.835641706910472,2.24401280942477,7.254197689123158,30451.692871779112,1.8943791141249309
12A,4358.953553409116,439652.8269975208,6.323662789280209,2.353238605277295,11.69809679278412,40902.244469918594,3.7684548288592254
12B,4692.965887786624,416781.5153299567,6.7697357440055015,2.488250651852482,12.21109731983026,38297.53909220637,3.563211268508228
13A,1093.106646048193,5070.487814492437,2.831136523078001,1.9993666933340564,5.663169818938224,895.2027191742973,0.0564725958378745
13B,1636.7658837409726,22496.07979421149,3.461636825971831,2.4099363425395204,6.334440364279452,3915.352980848808,0.2216480392868763
14A,4255.679381260402,258015.4771989797,2.397775091769923,2.758327760438017,4.136346646724771,74203.29536154197,2.4500461510856444
14B,6753.497509592925,306111.85079427256,2.465771848805306,2.966207947121695,4.128347024087947,92059.55175597793,2.926642718579997
15A,865.7480016124568,1325.1151023071336,4.428298299235055,2.373402668321765,8.15990133342757,177.5530636786874,0.0200298430978968
15B,924.2918632493696,954.0722193281204,6.257892505219837,2.254398377248128,11.80961093118734,85.92584728951319,0.016709581394178
16A,5512.383754135578,373540.3258083969,3.7710161847604153,2.253386296512545,7.117993301463957,55802.64112715223,3.434070937689521
16B,4903.613207128019,501952.84557121806,4.022420596963221,2.239005176058376,7.615463292866617,69850.66530708349,4.562242115649421
17A,823.9173084575344,9721.675087779218,8.378076742150933,1.825154472456222,17.558753631243,529.4639602952333,0.0781673847958492
17B,783.6033431755241,9722.28480557097,10.021739334013624,1.872159189624924,20.72781538732341,454.0545367490325,0.0725100761555866
18A,682.977565280719,297633.9911577572,5.965188750248432,2.245559841822286,11.278063196210772,28010.63663229911,2.5368471768493266
18B,2478.9875498993947,195257.05673165395,6.628001381723259,2.727199929646667,11.488665471416144,20085.43000797973,1.7118828181388537
19A,2067.310272679604,49377.24854706974,3.4205686989403983,3.568863896849291,5.337463709680476,12879.486949054688,0.4812118241289388
19B,1366.6837311226914,13869.755020368686,3.729146038777936,4.348542599501136,5.444270567720457,4043.366760348368,0.1428269469524572
20A,971.2500662936664,3527.6575906205067,2.9387396453782584,2.676209911527157,5.134934818798934,803.1293469072732,0.0419023241945022
20B,954.9629123568455,4643.399341814616,3.0134408065904,2.3041206292280574,5.629137891512541,887.6026525741283,0.0516865914928026
21A,837.336464421646,804.0230916372757,3.470829572588676,4.136695387144464,5.148898295451333,239.56798690153585,0.0153965006777638
21B,876.6294597218911,308.68951660198184,9.957422595976404,2.2608208024617795,18.76610180233711,17.521895699134923,0.0104138708724874
22A,934.789083048663,5422.223556537897,2.302675621223694,2.8045987383458115,3.944746973350053,1651.0316526491142,0.0594706318962283
22B,980.196867845656,5679.950275975112,2.5186388549701872,2.605396878175593,4.452040154455771,1468.9010185020477,0.0621188349007097
23A,6824.284591314104,266007.84822333686,3.4832202995431647,2.8164404529390032,5.956711472351995,53771.73994950333,2.529538549736902
23B,7403.537747609382,428319.6257738972,3.68671269810994,2.785801656839437,6.333500339332473,80913.10747847892,4.027855330913919
24A,602.5380608095774,80729.87792083184,3.9895839416968566,2.009073401305657,7.961150076716219,10163.481505317834,0.7213597139036912
24B,564.6076073489571,39020.924577734295,3.0242227631880683,1.90681502943581,6.196237580045137,6150.810577927478,0.3574894141967708
25A,1743.4125328940956,41561.02863881802,4.691545838713377,2.4626598132788664,8.501691124242601,5453.995257958417,0.389250034915274
25B,2087.5665297617925,64469.53532734787,4.522691286894721,2.513153834758774,8.121906921323907,8956.053467684542,0.6017198862027809
26A,808.3631146110444,351.6910925024977,4.755754741839266,3.448841065730232,7.5136404496472124,63.76099841752195,0.0108442434437032
