Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
1A,1185.8303518208245,197.1476387371117,12.803905795995052,1.253127581708814,33.239025065391615,4.823745732484128,0.0282309768357098
1B,1071.513105137523,283.88738969817524,41.38680814854521,0.8653540114396545,137.0397030364805,1.4839456245980382,0.0251867872415679
2A,1005.7324946941616,2557.854289533824,13.449658324288214,1.001576148454907,40.3066443757961,47.61990575986864,0.0528958076869343
2B,1005.054057437726,2059.9314420840938,6.514147951927189,1.3393703423408168,16.241327576559485,105.8853399225658,0.0568604177748628
3A,1736.9957219833038,211924.17805581688,3.2667450653543177,2.494069547629074,5.886355307145505,40449.56281567128,4.559482940563012
3B,1365.0985882708471,250952.6755601932,3.2586276306078696,2.4092145527384936,5.9637645615664425,46384.468136935946,5.372062036203207
4A,951.0121944952796,960.1886244432447,5.424849202498012,1.6554012574088788,11.978969151626565,73.25076683795763,0.0387378395325597
4B,939.770573431709,768.9683681696221,5.711972271035388,1.5890155288376635,12.90129442349238,53.47989364385505,0.0345699337439042
5A,12732.09909653949,671187.2971408103,4.23627855928178,2.806113917155063,7.255599003390243,111148.7352146547,14.544260538993438
5B,9689.48211385967,799539.6378526948,4.487559731812143,2.5448274488357256,8.01436838350696,113351.71777301756,16.989716137193092
6A,6895.265741145752,219230.19380658463,3.576711137141136,3.2893857400326327,5.75140964915308,50404.73256308105,4.874694555908077
6B,8360.617611860307,267751.5263836534,3.859479307409488,3.3638993849308125,6.154125410499679,58342.66251843226,5.947351335582988
7A,947.8285907014384,438.3584564565458,19.37790421311397,1.8165972766720628,40.71219163273794,10.27356686057697,0.0247769051650909
7B,910.372703063806,629.1995067806165,26.127033058220583,1.865362767983948,54.13985019668876,11.2305646317267,0.024011655071506
8A,1798.706798188539,171596.5704689365,3.4582689151773747,2.3980753700930384,6.342472604774674,29747.651160673628,3.680648564645085
8B,1753.0818730534047,148317.80098509043,3.1426848541986896,2.4384594939769606,5.720283425724015,28770.53910247196,3.202769489259891
9A,925.3524424039118,6425.413651635981,2.7850742234531944,4.570165172247701,4.003881036110881,2635.944263236005,0.1593132619968366
9B,870.9896443534014,2471.569883241393,3.73324569887198,3.552021647450261,5.83528564648987,587.8979336340082,0.0722222568878617
10A,2802.943378841879,61995.27559791715,4.279614624325624,3.038874570373318,7.0961932788371085,11005.422394048104,1.3852110420486037
10B,2638.452226858275,59017.41114787123,4.050351555782782,3.1617574021593966,6.612440318833672,11517.440769225015,1.323373678074642
11A,4373.926444669034,208527.312458872,3.241976179429304,2.6655719617595053,5.674456882211999,42863.09696523433,4.562609948649064
11B,5823.047723881851,189886.1576817729,3.190534505869004,2.7809870673812678,5.485068373567561,41377.93744405064,4.204632869437071
12A,4706.782402664156,114444.96743065314,3.603590376566319,3.528278664616312,5.646280718860014,28013.293317416184,2.5728987577100195
12B,5718.4439427756415,168254.06619454984,4.268923628706144,3.0987921586316887,7.024141410457045,30533.714486922847,3.7230266061208144
13A,4208.237133306268,107218.34499447576,3.025188145501077,3.133918815191298,4.955798556234653,27767.99099351585,2.4054198048329
13B,4453.745706761908,115456.02082959616,3.076809791449453,3.0675640590685904,5.082837852935914,28777.26963202189,2.586585891354276
14A,5938.024418096117,199726.83731630148,3.018680288131383,3.0440635949063624,5.002003036829897,50351.57224091874,4.436615014810567
14B,5555.440090732068,167204.2100463968,2.7488338370059733,3.2228231389574846,4.45468843621005,49008.92787826448,3.7351483196763775
15A,1028.032080342177,10723.176071063954,6.074642742570674,2.375197757145949,11.18970545622867,1048.195952948088,0.2365565946785402
15B,1072.0159684939108,7705.454441257571,6.047820022406266,2.586269797396697,10.72468709056282,823.783777576425,0.179730561267332
16A,3239.113520160557,190445.17187306212,3.704939181943801,2.539833302468784,6.622405598611781,32638.79419228558,4.116194167106525
16B,3519.971807955292,142764.29830302592,3.357675770769031,2.6327135628296467,5.908409597779207,27984.94629099854,3.129467461728884
17A,979.263278586652,621244.5834234024,6.504930198783878,2.1112439711539643,12.667107841596431,50407.87684431736,11.950022472124466
17B,1471.8731692382523,571239.4926829477,6.4807206209460695,2.10706623863534,12.63213674837011,46431.5436356408,11.005290012304652
18A,1084.378979031628,12318.747848396237,2.426215549623936,3.015322583318247,4.035473254286486,3827.462752766311,0.2898182253696384
18B,1054.9088839673684,9427.39248528012,2.3724267126091627,2.9603322247298154,3.975237838191995,2940.893139187571,0.2266495150258395
19A,8674.018885575295,395897.7190648097,3.752848828328824,3.3104808975537705,6.02010180121378,87307.79577742735,8.714540140284667
19B,8109.83521825182,479930.0510382448,3.88430562251403,3.079357276910633,6.407108449999486,95118.42261501738,10.47342425113466
20A,847.9017742242737,14530.396677462995,8.310911315205004,1.9456988664869237,16.853765976174053,850.4415241810258,0.2716051442932081
20B,897.5308073167491,15973.560031582403,8.37641971596804,1.974140671998975,16.86256240557308,941.155517638712,0.2981104888615011
