Day,Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
2,39,2,3,2,5,0.1,0.5,6,5,8,1,3,1,7,0.2,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,4.860915449
5,TOP2,2,3,2,5,0.1,0.5,6,5,8,1,3,1,7,0.2,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,3.568698839
3,TOP2,2,3,2,5,0.1,0.5,6,5,8,1,3,1,7,0.2,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,2.747506312
5,11,0.5,6,1,5,0.2,2,2,10,8,1,3,2,7,0.2,0.4,1,0.05,0.1,0.05,0.1,6.7,0.1,2.446991758
3,TOP1V,2,6,1,2.5,0.1,2,4,10,8,1,3,2,3.5,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,2.346686738
2,45,2,6,1,5,0.1,2,2,20,4,1,3,2,7,0.1,0.4,2,0.05,0.05,0.05,0.2,3.33,0.1,2.271573979
5,TOP4,0.5,3,2,1.25,0.2,0.5,6,5,8,2,3,1,3.5,0.2,0.4,1,0.05,0.1,0.05,0.2,6.7,0.1,2.252326209
2,TOP1V,2,6,1,2.5,0.1,2,4,10,8,1,3,2,3.5,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,2.223846783
3,2,2,3,1,1.25,0.1,1,4,5,8,2,3,1,7,0.1,0.4,1,0.05,0.2,0.2,0.2,6.7,0.1,2.221332209
3,17,2,3,1,1.25,0.1,1,2,5,8,4,3,4,7,0.2,0.4,2,0.05,0.05,0.05,0.2,6.7,0.1,2.213489714
5,13,0.5,3,1,5,0.2,1,6,10,8,4,3,1,7,0.1,0.4,1,0.05,0.1,0.1,0.1,6.7,0.1,2.201419841
5,3,2,3,1,2.5,0.1,1,4,10,8,4,3,1,3.5,0.2,0.4,2,0.05,0.1,0.05,0.2,13.32,0.1,2.159054156
8,14,4,3,1,2.5,0.1,2,4,10,4,0.5,1.5,1,7,0.1,0.8,1,0.025,0.1,0.05,0.1,6.7,0.1,2.155025154
3,27,2,3,1,1.25,0.2,1,6,10,8,1,3,2,3.5,0.1,0.4,2,0.2,0.1,0.2,0.2,6.7,0.1,2.150458079
5,20,0.5,3,2,5,0.2,1,4,5,8,1,6,1,1.75,0.2,0.4,1,0.1,0.05,0.1,0.2,6.7,0.1,2.134919667
6,8,2,3,1,2.5,0.2,1,4,5,8,0.5,3,1,7,0.2,0.4,1,0.025,0.1,0.2,0.2,6.7,0.1,2.112783873
5,TOP3,2,3,1,5,0.2,1,4,5,2,4,6,1,3.5,0.1,0.4,1,0.05,0.1,0.2,0.2,13.32,0.1,2.111306316
6,28,4,3,0.5,5,0.2,2,4,5,4,1,3,1,7,0.2,0.8,0.5,0.025,0.1,0.05,0.2,13.32,0.1,2.058995874
5,10,2,3,1,2.5,0.1,0.5,6,5,4,4,3,1,7,0.2,0.4,1,0.05,0.05,0.05,0.1,13.32,0.1,2.053537122
8,TOP7,1,3,1,5,0.2,0.5,4,10,8,1,1.5,1,7,0.2,0.8,1,0.025,0.1,0.1,0.2,6.7,0.1,2.046769298
4,TOP2,2,3,2,5,0.1,0.5,6,5,8,1,3,1,7,0.2,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,2.039417293
5,9,2,3,1,2.5,0.1,1,6,5,8,2,3,1,3.5,0.1,0.4,2,0.2,0.2,0.1,0.1,13.32,0.1,1.988490806
3,8,2,6,1,1.25,0.1,0.5,2,10,8,1,6,4,7,0.4,0.4,1,0.05,0.1,0.1,0.2,6.7,0.1,1.957476171
2,40,1,3,2,5,0.1,2,2,5,4,1,6,1,1.75,0.2,0.4,4,0.05,0.05,0.2,0.2,6.7,0.1,1.953729724
5,24,2,3,1,2.5,0.1,2,4,5,8,1,3,1,3.5,0.1,0.4,4,0.1,0.1,0.05,0.2,6.7,0.1,1.948780799
1,22,2,6,1,2.5,0.1,2,4,10,8,1,3,2,3.5,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,1.878375648
5,29,0.5,6,1,5,0.1,1,4,5,2,1,6,1,3.5,0.2,0.4,1,0.05,0.1,0.2,0.1,13.32,0.1,1.869543017
7,6,1,3,1,5,0.2,0.5,4,10,8,1,1.5,1,7,0.2,0.8,1,0.025,0.1,0.1,0.2,6.7,0.1,1.869275773
7,19,4,3,1,2.5,0.1,2,4,5,4,0.5,3,1,7,0.2,0.8,1,0.05,0.05,0.05,0.4,13.32,0.1,1.801910435
7,16,4,3,1,1.25,0.1,0.5,4,5,8,1,1.5,1,7,0.1,0.8,1,0.05,0.1,0.05,0.2,13.32,0.1,1.795494715
7,4,4,3,1,2.5,0.1,2,4,5,8,1,1.5,1,7,0.2,0.4,2,0.025,0.1,0.05,0.1,6.7,0.1,1.760467747
2,36,2,6,1,5,0.2,1,4,5,2,1,6,2,3.5,0.2,0.4,2,0.1,0.1,0.1,0.05,13.32,0.1,1.757623449
5,23,0.5,3,1,5,0.2,2,2,5,8,2,6,2,1.75,0.1,0.4,1,0.1,0.1,0.1,0.1,6.7,0.1,1.752592927
5,6,0.5,3,2,5,0.1,2,4,10,8,1,6,4,1.75,0.2,0.4,1,0.1,0.1,0.1,0.2,6.7,0.1,1.719547841
3,TOP1C,0.5,6,2,5,0.1,2,2,5,8,1,6,1,1.75,0.2,0.4,1,0.1,0.1,0.05,0.2,6.7,0.1,1.71411419
