hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,Day
0.5,1.5,0.5,2.5,0.05,1.0,4.0,10.0,8.0,2.0,1.5,1.0,7.0,0.2,0.4,2.0,0.05,0.05,0.05,0.1,20.1,0.1,55,1.90356621,7
0.5,1.5,0.5,2.5,0.05,2.0,4.0,2.5,2.0,1.0,3.0,4.0,14.0,0.2,0.8,2.0,0.2,0.1,0.2,0.1,13.32,0.1,36,1.019084562,6
0.5,1.5,0.5,2.5,0.05,2.0,4.0,2.5,4.0,2.0,1.5,1.0,14.0,0.4,0.4,4.0,0.2,0.1,0.05,0.1,13.32,0.1,48,1.391290796,6
0.5,1.5,0.5,2.5,0.05,2.0,4.0,2.5,4.0,2.0,6.0,1.0,14.0,0.2,0.8,1.0,0.2,0.05,0.1,0.05,13.32,0.1,50,1.003489483,6
0.5,1.5,0.5,2.5,0.05,2.0,4.0,10.0,2.0,4.0,1.5,1.0,14.0,0.2,0.8,2.0,0.05,0.05,0.1,0.1,13.32,0.1,49,1.804399657,6
0.5,1.5,0.5,2.5,0.1,1.0,4.0,5.0,8.0,1.0,1.5,1.0,7.0,0.2,0.4,2.0,0.2,0.2,0.05,0.1,13.32,0.1,42,1.58267592,7
0.5,1.5,0.5,2.5,0.1,1.0,4.0,10.0,2.0,4.0,1.5,1.0,7.0,0.4,0.4,4.0,0.2,0.1,0.1,0.1,13.32,0.1,62,1.919262483,7
0.5,1.5,0.5,2.5,0.1,1.0,4.0,10.0,4.0,1.0,3.0,4.0,14.0,0.2,0.4,4.0,0.1,0.1,0.1,0.05,13.32,0.1,62,1.058519441,6
0.5,1.5,0.5,2.5,0.1,2.0,4.0,5.0,4.0,1.0,3.0,1.0,7.0,0.2,0.4,1.0,0.2,0.05,0.1,0.1,20.1,0.1,35,1.860722563,6
0.5,1.5,0.5,2.5,0.1,2.0,4.0,5.0,8.0,2.0,3.0,1.0,7.0,0.2,0.4,1.0,0.1,0.1,0.05,0.1,13.32,0.1,48,1.63854741,7
0.5,1.5,0.5,2.5,0.1,2.0,4.0,10.0,2.0,4.0,1.5,1.0,7.0,0.2,0.8,1.0,0.1,0.1,0.1,0.2,13.32,0.1,59,1.985054742,8
