hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,rate,Day
0.5,3.0,1.0,5.0,0.2,1.0,2.0,20.0,8.0,1.0,6.0,1.0,1.75,0.4,0.1,2.0,0.1,0.2,0.2,0.05,3.33,0.1,17,2.0561173375,2.797556288,3.1
0.5,3.0,2.0,1.25,0.2,2.0,2.0,20.0,8.0,1.0,3.0,4.0,1.75,0.4,0.2,2.0,0.05,0.2,0.2,0.1,3.33,0.1,19,9.458165013,8.950074747,5.0
0.5,3.0,2.0,5.0,0.1,1.0,2.0,10.0,8.0,2.0,3.0,4.0,1.75,0.1,0.2,1.5,0.2,0.2,0.1,0.1,3.33,0.1,33,16.49180752,9.734277168,5.0
0.5,3.0,2.0,5.0,0.1,2.0,2.0,20.0,8.0,2.0,3.0,1.0,1.75,0.4,0.4,1.5,0.05,0.1,0.05,0.1,6.7,0.1,61,6.627042703500001,11.363617489500001,4.0
0.5,3.0,4.0,1.25,0.2,0.5,2.0,20.0,8.0,2.0,3.0,1.0,1.75,0.4,0.1,2.0,0.05,0.2,0.2,0.1,6.7,0.1,6,0.013692938,0.01522282,3.1
0.5,6.0,1.0,1.25,0.2,1.0,2.0,20.0,2.0,1.0,12.0,4.0,1.75,0.1,0.4,4.0,0.1,0.2,0.05,0.1,3.33,0.1,7,0.025099915,0.001117961,5.0
0.5,6.0,1.0,1.25,0.2,2.0,2.0,20.0,8.0,1.0,3.0,1.0,1.75,0.4,0.1,2.0,0.05,0.1,0.1,0.1,13.32,0.1,21,1.082629785,1.3722871245000001,3.1
0.5,6.0,1.0,2.5,0.1,0.5,2.0,5.0,8.0,1.0,3.0,4.0,1.75,0.4,0.4,1.5,0.05,0.2,0.05,0.2,6.7,0.1,9,1.249343236,1.121050757,3.1
0.5,6.0,1.0,2.5,0.2,1.0,2.0,10.0,4.0,2.0,3.0,4.0,1.75,0.1,0.1,2.0,0.2,0.2,0.05,0.1,6.7,0.1,8,3.398560795,2.87098115,5.0
0.5,6.0,2.0,2.5,0.1,2.0,2.0,10.0,8.0,4.0,3.0,2.0,1.75,0.2,0.2,4.0,0.2,0.1,0.05,0.2,6.7,0.1,12,3.097932758,2.872388515,5.0
0.5,6.0,2.0,2.5,0.2,2.0,2.0,10.0,8.0,4.0,3.0,4.0,3.5,0.4,0.1,2.0,0.2,0.1,0.1,0.05,3.33,0.1,10,1.334539853,1.105001306,5.0
0.5,6.0,2.0,5.0,0.1,1.0,2.0,10.0,8.0,2.0,3.0,1.0,1.75,0.1,0.2,2.0,0.05,0.2,0.2,0.2,6.7,0.1,6,5.310840362,5.335300836,5.0
0.5,6.0,2.0,5.0,0.2,0.5,2.0,10.0,8.0,2.0,6.0,1.0,1.75,0.4,0.4,1.5,0.05,0.2,0.05,0.2,6.7,0.1,30,7.7410745725000005,6.429273074,3.1
0.5,6.0,2.0,5.0,0.4,2.0,4.0,5.0,8.0,1.0,6.0,1.0,1.75,0.4,0.4,1.5,0.05,0.2,0.05,0.1,3.33,0.1,49,3.237114993,4.948954387,4.0
0.5,6.0,4.0,2.5,0.2,0.5,2.0,5.0,8.0,1.0,3.0,4.0,7.0,0.4,0.1,4.0,0.05,0.2,0.1,0.1,3.33,0.1,14,0.011861381,0.004937073,3.1
0.5,12.0,1.0,1.25,0.1,2.0,6.0,5.0,2.0,4.0,3.0,2.0,3.5,0.1,0.2,4.0,0.2,0.05,0.05,0.1,13.32,0.1,2,0.055068998,0.007531254,5.0
0.5,12.0,2.0,2.5,0.1,1.0,2.0,20.0,8.0,1.0,3.0,2.0,1.75,0.2,0.1,2.0,0.2,0.05,0.2,0.2,3.33,0.1,20,0.285341865,0.087898132,5.0
1.0,3.0,1.0,2.5,0.1,0.5,2.0,20.0,8.0,1.0,3.0,2.0,1.75,0.4,0.2,2.0,0.1,0.1,0.05,0.1,6.7,0.1,16,2.846157421,3.462648674,3.1
1.0,3.0,1.0,2.5,0.4,0.5,2.0,20.0,2.0,1.0,12.0,2.0,1.75,0.1,0.2,4.0,0.05,0.2,0.2,0.2,3.33,0.1,43,0.023602538,0.000741072,5.0
1.0,3.0,1.0,5.0,0.1,0.5,2.0,20.0,8.0,4.0,3.0,2.0,1.75,0.1,0.1,2.0,0.2,0.2,0.2,0.05,3.33,0.1,13,3.2336561049999997,3.082111044,3.1
1.0,3.0,1.0,5.0,0.4,0.5,2.0,5.0,4.0,4.0,6.0,1.0,7.0,0.4,0.4,1.5,0.05,0.1,0.05,0.1,3.33,0.1,37,1.203358357,3.7456506,4.0
1.0,3.0,1.0,5.0,0.4,1.0,2.0,20.0,8.0,1.0,3.0,1.0,1.75,0.4,0.2,1.5,0.05,0.2,0.05,0.2,3.33,0.1,29,10.4944531885,12.22612411,3.1
1.0,3.0,2.0,1.25,0.2,1.0,2.0,20.0,2.0,1.0,6.0,4.0,1.75,0.4,0.4,1.5,0.05,0.2,0.05,0.2,6.7,0.1,50,7.126953861,7.726312649,5.0
1.0,3.0,2.0,1.25,0.4,0.5,2.0,10.0,8.0,2.0,3.0,2.0,1.75,0.1,0.2,4.0,0.2,0.2,0.05,0.05,3.33,0.1,36,2.046063191,2.784037694,5.0
1.0,3.0,2.0,2.5,0.2,2.0,2.0,20.0,8.0,1.0,3.0,2.0,1.75,0.4,0.4,2.0,0.05,0.05,0.05,0.05,6.7,0.1,10,3.6920268385,5.518336946,3.1
1.0,3.0,2.0,5.0,0.2,0.5,2.0,10.0,8.0,1.0,12.0,4.0,1.75,0.1,0.4,4.0,0.05,0.2,0.05,0.2,3.33,0.1,24,1.646759095,2.860325642,5.0
1.0,3.0,2.0,5.0,0.4,2.0,4.0,5.0,8.0,4.0,6.0,1.0,3.5,0.4,0.2,1.5,0.1,0.2,0.05,0.05,6.7,0.1,56,1.767024486,2.623908851,4.0
1.0,3.0,4.0,2.5,0.1,2.0,2.0,10.0,2.0,1.0,6.0,2.0,1.75,0.1,0.4,2.0,0.05,0.2,0.1,0.2,6.7,0.1,9,0.117592563,0.158166078,5.0
1.0,3.0,4.0,2.5,0.2,0.5,2.0,10.0,8.0,2.0,3.0,4.0,1.75,0.4,0.2,1.5,0.05,0.2,0.2,0.1,3.33,0.1,7,0.332736483,0.314130168,3.1
1.0,3.0,4.0,5.0,0.4,0.5,2.0,10.0,2.0,2.0,12.0,1.0,3.5,0.4,0.4,4.0,0.05,0.05,0.05,0.05,6.7,0.1,63,0.064603943,0.134387658,4.0
1.0,6.0,1.0,1.25,0.1,2.0,2.0,10.0,8.0,1.0,3.0,2.0,1.75,0.1,0.1,1.5,0.1,0.2,0.2,0.05,3.33,0.1,11,4.333818096,4.132975926,5.0
1.0,6.0,1.0,1.25,0.2,1.0,2.0,10.0,4.0,4.0,3.0,2.0,1.75,0.4,0.1,2.0,0.2,0.2,0.2,0.1,6.7,0.1,28,2.9374920615,2.484703496,3.1
1.0,6.0,1.0,1.25,0.2,2.0,2.0,20.0,8.0,2.0,3.0,2.0,3.5,0.2,0.2,2.0,0.1,0.2,0.2,0.05,3.33,0.1,14,4.047872971,4.874757876,5.0
1.0,6.0,1.0,2.5,0.1,1.0,4.0,5.0,8.0,2.0,3.0,2.0,1.75,0.2,0.2,4.0,0.2,0.2,0.2,0.05,6.7,0.1,13,2.469971668,2.774185481,5.0
1.0,6.0,1.0,2.5,0.2,2.0,2.0,20.0,8.0,2.0,3.0,1.0,1.75,0.1,0.1,2.0,0.1,0.2,0.05,0.1,3.33,0.1,3,5.4703023395,4.890370892,3.1
1.0,6.0,1.0,2.5,0.4,1.0,2.0,20.0,8.0,4.0,3.0,1.0,1.75,0.1,0.1,1.5,0.05,0.2,0.1,0.1,3.33,0.1,23,4.5835644460000005,3.5103053485,3.1
1.0,6.0,1.0,5.0,0.2,2.0,2.0,10.0,8.0,4.0,3.0,4.0,3.5,0.1,0.1,4.0,0.05,0.2,0.05,0.1,6.7,0.1,8,3.7949127725,4.6090531185,3.1
1.0,6.0,1.0,5.0,0.4,2.0,2.0,20.0,2.0,1.0,3.0,1.0,1.75,0.2,0.4,4.0,0.1,0.2,0.05,0.1,3.33,0.1,46,20.63615896,18.96699884,5.0
1.0,6.0,2.0,1.25,0.1,0.5,2.0,10.0,8.0,4.0,3.0,4.0,7.0,0.4,0.4,1.5,0.05,0.2,0.2,0.05,3.33,0.1,24,0.7865622925,1.524392074,3.1
1.0,6.0,2.0,1.25,0.1,2.0,2.0,10.0,4.0,1.0,6.0,1.0,1.75,0.4,0.2,4.0,0.05,0.2,0.05,0.2,3.33,0.1,42,11.93193937,10.32044419,5.0
1.0,6.0,2.0,2.5,0.1,2.0,2.0,10.0,8.0,1.0,6.0,4.0,1.75,0.4,0.1,2.0,0.05,0.2,0.1,0.05,3.33,0.1,31,4.376512586333333,3.6573999376666664,3.1
1.0,6.0,2.0,2.5,0.2,0.5,2.0,20.0,8.0,1.0,3.0,4.0,1.75,0.2,0.2,1.5,0.05,0.2,0.1,0.1,3.33,0.1,27,11.26475563,6.102109806,5.0
1.0,6.0,2.0,2.5,0.2,1.0,4.0,10.0,4.0,2.0,6.0,2.0,3.5,0.2,0.2,2.0,0.1,0.1,0.1,0.1,6.7,0.1,REF,1.0,1.0,3.1
1.0,6.0,2.0,2.5,0.2,2.0,4.0,5.0,8.0,2.0,3.0,4.0,7.0,0.1,0.1,2.0,0.1,0.2,0.1,0.05,3.33,0.1,18,0.262148682,0.332064648,5.0
1.0,6.0,2.0,5.0,0.2,1.0,2.0,10.0,2.0,1.0,3.0,1.0,1.75,0.4,0.4,2.0,0.1,0.2,0.05,0.2,3.33,0.1,31,11.22754743,8.080714752,5.0
1.0,6.0,2.0,5.0,0.2,1.0,2.0,20.0,8.0,1.0,3.0,4.0,3.5,0.1,0.1,1.5,0.2,0.1,0.05,0.1,6.7,0.1,5,1.5352495655,1.1524610480000002,3.1
1.0,6.0,2.0,5.0,0.2,1.0,4.0,5.0,4.0,4.0,6.0,1.0,7.0,0.4,0.4,1.5,0.1,0.2,0.05,0.05,6.7,0.1,54,1.157753923,2.99219674,4.0
1.0,6.0,2.0,5.0,0.4,1.0,2.0,20.0,8.0,1.0,3.0,1.0,1.75,0.2,0.4,1.5,0.1,0.05,0.05,0.2,3.33,0.1,40,3.597043897,2.910172618,4.0
1.0,6.0,4.0,1.25,0.2,1.0,2.0,5.0,8.0,2.0,3.0,4.0,3.5,0.4,0.1,2.0,0.05,0.2,0.1,0.1,6.7,0.1,19,0.025242249,0.013868478,3.2
1.0,6.0,4.0,2.5,0.1,0.5,2.0,20.0,8.0,1.0,3.0,2.0,3.5,0.4,0.1,1.5,0.05,0.1,0.05,0.2,6.7,0.1,18,0.025377687,0.013552081,3.2
1.0,6.0,4.0,2.5,0.1,1.0,2.0,10.0,8.0,1.0,3.0,4.0,1.75,0.4,0.1,2.0,0.05,0.2,0.2,0.05,13.32,0.1,1,0.035532204,0.064191643,3.1
1.0,6.0,4.0,5.0,0.2,1.0,2.0,5.0,2.0,4.0,3.0,1.0,3.5,0.4,0.2,1.5,0.05,0.2,0.05,0.05,6.7,0.1,47,0.013526977,0.009446726,4.0
1.0,12.0,2.0,1.25,0.4,0.5,2.0,10.0,4.0,1.0,6.0,4.0,1.75,0.1,0.2,1.5,0.2,0.2,0.1,0.05,3.33,0.1,41,0.295564964,0.169685978,5.0
1.0,12.0,2.0,2.5,0.1,0.5,2.0,20.0,4.0,1.0,3.0,4.0,1.75,0.1,0.4,2.0,0.2,0.2,0.05,0.05,3.33,0.1,22,3.676329595,1.330345704,5.0
2.0,3.0,1.0,1.25,0.1,2.0,2.0,10.0,4.0,2.0,3.0,4.0,1.75,0.1,0.2,1.5,0.1,0.2,0.1,0.2,3.33,0.1,49,3.031531095,4.613902436,5.0
2.0,3.0,1.0,1.25,0.1,2.0,2.0,20.0,8.0,1.0,3.0,1.0,3.5,0.4,0.2,4.0,0.05,0.2,0.2,0.1,3.33,0.1,4,7.548968654499999,14.22781878,3.1
2.0,3.0,1.0,1.25,0.2,1.0,2.0,10.0,4.0,1.0,3.0,4.0,1.75,0.1,0.2,1.5,0.05,0.2,0.1,0.1,3.33,0.1,32,9.005127708,11.25148402,5.0
2.0,3.0,1.0,1.25,0.4,0.5,2.0,20.0,4.0,1.0,3.0,2.0,3.5,0.1,0.2,4.0,0.05,0.2,0.1,0.2,3.33,0.1,34,7.052095789,7.089743013,5.0
2.0,3.0,1.0,2.5,0.1,1.0,2.0,20.0,4.0,2.0,3.0,2.0,1.75,0.1,0.2,1.5,0.2,0.05,0.05,0.1,6.7,0.1,3,4.896648677,4.260191888,5.0
2.0,3.0,1.0,2.5,0.2,2.0,2.0,10.0,8.0,1.0,6.0,1.0,1.75,0.1,0.4,2.0,0.1,0.2,0.05,0.2,6.7,0.1,40,11.47921447,15.51316098,5.0
2.0,3.0,1.0,5.0,0.1,2.0,2.0,10.0,4.0,1.0,3.0,2.0,1.75,0.1,0.2,4.0,0.1,0.2,0.05,0.1,3.33,0.1,30,27.319049,40.18840537,5.0
2.0,3.0,1.0,5.0,0.1,2.0,2.0,20.0,8.0,1.0,12.0,1.0,1.75,0.1,0.2,1.5,0.05,0.2,0.1,0.05,3.33,0.1,21,0.027986944,0.002621644,5.0
2.0,3.0,1.0,5.0,0.2,0.5,2.0,5.0,4.0,4.0,12.0,4.0,7.0,0.2,0.1,1.5,0.1,0.2,0.1,0.2,3.33,0.1,1,0.028073124,0.000363356,5.0
2.0,3.0,2.0,1.25,0.4,2.0,2.0,5.0,2.0,2.0,12.0,2.0,1.75,0.1,0.2,1.5,0.2,0.2,0.05,0.05,3.33,0.1,48,2.229195618,2.636322784,5.0
2.0,3.0,2.0,2.5,0.2,2.0,2.0,10.0,4.0,2.0,6.0,1.0,1.75,0.1,0.2,2.0,0.1,0.2,0.05,0.2,6.7,0.1,38,7.481164291,8.889458886,5.0
2.0,3.0,2.0,5.0,0.2,1.0,2.0,10.0,2.0,2.0,3.0,1.0,1.75,0.1,0.4,1.5,0.05,0.2,0.05,0.2,3.33,0.1,25,11.69471825,11.04331596,5.0
2.0,3.0,2.0,5.0,0.4,0.5,4.0,5.0,4.0,4.0,6.0,1.0,1.75,0.2,0.4,1.5,0.05,0.05,0.1,0.05,3.33,0.1,43,3.930933838,2.569797169,4.0
2.0,3.0,2.0,5.0,0.4,0.5,6.0,5.0,2.0,2.0,12.0,1.0,7.0,0.4,0.2,1.5,0.05,0.2,0.05,0.05,6.7,0.1,33,0.147295306,0.414136031,4.0
